"id","repository_name","url","namespace_identifier"
36,ABDI KAMI: Jurnal Pengabdian Kepada Masyarakat,http://ejournal.iaiibrahimy.ac.id/index.php/Abdi_Kami/oai,ojs2.ejournal.iaiibrahimy.ac.id
37,Abdi Masya,https://jurnal.sttw.ac.id/index.php/abma/oai,ojs2.jurnal.sttw.ac.id
38,Abdi Widya: Jurnal Pengabdian Masyarakat,https://jurnal2.isi-dps.ac.id/index.php/abdiwidya/oai,ojs.pkp.sfu.ca
39,ABDIMAS: JURNAL PENGABDIAN KEPADA MASYARAKAT,http://ejournal.unima.ac.id/index.php/abdimas/oai,ojs.ejournal.unima.ac.id
40,Abdullah Gül University Institutional Repository,http://acikerisim.agu.edu.tr/oai/request,acikerisim.agu.edu.tr
41,Aberdeen University Research Archive,http://aura.abdn.ac.uk/dspace-oai/request,""
42,Abertay Research Collections,http://repository.abertay.ac.uk:8080/oai/request,""
43,Abrahamic Religions: Jurnal Studi Agama-Agama,https://jurnal.ar-raniry.ac.id/index.php/abrahamic/oai,ojs.jurnal.ar-raniry.ac.id
44,ABSYARA: Jurnal Pengabdian Pada Masyarakat,http://e-journal.hamzanwadi.ac.id/index.php/ab/oai,ojs2.e-journal.hamzanwadi.ac.id
45,Academic Commons,https://commons.library.stonybrook.edu/do/oai/,commons.library.stonybrook.edu
46,Academic Commons,http://academiccommons.columbia.edu:8080/ac-oai/request,""
47,Academic Journals,http://academicjournals.org/oai-pmh/handler,""
48,Academic Research Repository Institute of Developing Economies (ARRIDE),http://ir.ide.go.jp/oai,""
49,Academica-e,http://academica-e.unavarra.es/oai/request,""
50,Academicus International Scientific Journal Repository,https://academicus.edu.al/oai/request.php,academicus.edu.al
51,Academos Public Archive,http://pub.academos.ro/oai-pmh-repository/request,pub.academos.ro
52,Academy of Business & Scientific Research (ABSR),http://absronline.org/journals/index.php/index/oai,ojs.absronline.org
53,Academy of Education and Social Sciences Review,https://journals.irapa.org/index.php/aessr/oai,ojs2.journals.irapa.org
54,acceda,http://acceda.ulpgc.es/oai/request,""
55,AccessATE,https://accessate.net/OAI,accessate.net
56,AccessLex Resource Collections,https://arc.accesslex.org/do/oai/,arc.accesslex.org
57,"Acervo General de la biblioteca ""Dr Jorge Villalobos Padilla, S.J."" del ITESO",http://docu.gdl.iteso.mx/oai/default.aspx,acervo.iteso.mx
58,Acikerisim@COMU,http://acikerisim.lib.comu.edu.tr:8080/oai/request,""
59,Acitya Wisesa (Journal Of Multidisciplinary Research),https://journal.jfpublisher.com/index.php/jmr/oai,ojs2.journal.jfpublisher.com
60,Acta Biomedica Scientifica,https://www.actabiomedica.ru/jour/oai,oai.actabiomedica.elpub.ru
61,Acta Chimica Slovenica,https://journals.matheo.si/index.php/index/oai,ojs.abelium.eu
62,Acta Interna The Journal of Internal Medicine,http://jurnal.ugm.ac.id/jain/oai,jurnal.ugm.ac.id
63,Acta Medica Anatolia,http://dergipark.ulakbim.gov.tr/ibuama/oai,dergipark.ulakbim.gov.tr
64,Acta Medica Indonesiana,http://www.actamedindones.org/index.php/ijim/oai,ojs.www.actamedindones.org
65,Acta medica Lituanica,https://www.journals.vu.lt/AML/oai,ojs.www4063.vu.lt
66,Acta Medica Marisiensis,http://www.ammjournal.ro/index.php/AMM/oai,ojs.ammjournal.ro
67,Acta Medica Scientia,http://asdpub.com/index.php/ams/oai,ojs.asdpub.com
68,Acta Monographica,http://www.actamonographica.org/ojs-2.2.4/index.php/actamonographica/oai,ojs.www.actamonographica.org
69,Acta Museologica Lithuanica,https://www.journals.vu.lt/acta-museologica-lithuanica/oai,ojs.www4063.vu.lt
70,Acta Orientalia Vilnensia,https://www.journals.vu.lt/acta-orientalia-vilnensia/oai,ojs.www4063.vu.lt
71,Acta Paedagogica Vilnensia,https://www.journals.vu.lt/acta-paedagogica-vilnensia/oai,ojs.www4063.vu.lt
72,Acta Pediátrica de México,http://www.ojs.actapediatrica.org.mx/index.php/APM/oai,ojs.ojs.escire.net
73,Acta Reumatológica,http://imed.pub/ojs/index.php/ar/oai,www.imed.pub
74,Acta Tecnológica,https://periodicos.ifma.edu.br/actatecnologica/oai,ojs.pkp.sfu.ca
75,Acta Universitatis Bohemiae Meridionalis,http://ojs.ef.jcu.cz/acta/oai,ojs.ojs.ef.jcu.cz
76,Actes Sémiotiques,http://epublications.unilim.fr/revues/as/oai.php,as.unilim.fr
77,Actual Problems of Mind. Philosophy Journal,http://journal.kdpu.edu.ua/apd/oai,journal.kdpu.edu.ua
78,Actual Problems of Mind. Philosophy Journal,https://journal.kdpu.edu.ua/apd/oai,journal.kdpu.edu.ua
79,ACU Research Bank,https://researchbank.acu.edu.au/do/oai/,researchbank.acu.edu.au
80,Adaara: Jurnal Manajemen Pendidikan Islam,https://jurnal.iain-bone.ac.id/index.php/adara/oai,ojs.pkp.sfu.ca
81,ADBU Journal of Electrical and Electronics Engineering (AJEEE),http://journals.dbuniversity.ac.in/ojs/index.php/AJEEE/oai,journals.dbuniversity.ac.in
82,ADDI: Repositorio Institucional de la Universidad del País Vasco,http://addi.ehu.es/oai/request,addi.ehu.es
83,Adelphi Digital Commons,https://digitalcommons.adelphi.edu/do/oai/,digitalcommons.adelphi.edu
84,ADHAPER: Jurnal Hukum Acara Perdata,http://jhaper.org/index.php/JHAPER/oai,ojs.www.jhaper.org
85,adihusada.ac.id,https://adihusada.ac.id/repository/oai2.php,""
86,ADRI International Journal,http://journal.p-adri.com/index.php/index/oai,ojs.journal.p-adri.com
87,Advanced Electromagnetics,http://aemjournal.org/index.php/AEM/oai,ojs.aemjournal.org
88,Advanced Journal of Graduate Research,https://journals.aijr.in/index.php/ajgr/oai,article.journals.aijr.in
89,Advanced Journal of Graduate Research,https://journals.aijr.org/index.php/ajgr/oai,ojs2.journals.aijr.org
90,Advanced Journal of Social Science,https://journals.aijr.org/index.php/ajss/oai,ojs2.journals.aijr.org
91,Advanced Nano Research,https://journals.aijr.org/index.php/anr/oai,ojs2.journals.aijr.org
92,Advancements in Life Sciences,http://submission.als-journal.com/index.php/ALS/oai,ojs.submission.als-journal.com
93,Advances in Agricultural Science,http://aaasjournal.org/submission/index.php/aaas/oai,ojs2.aaasjournal.org
94,Advances in Applied Economics and Finance,http://www.worldsciencepublisher.org/journals/index.php/AAEF/oai,ojs.worldsciencepublisher.org
95,Advances in Asian Social Science,http://www.worldsciencepublisher.org/journals/index.php/AASS/oai,ojs.worldsciencepublisher.org
96,Advances in BioScience,https://e-journal.sospublication.co.in/index.php/ab/oai,ojs2.e-journal.sospublication.co.in
97,Advances in BioScience,https://journals.sospublication.co.in/ab/oai,ojs2.journals.sospublication.co.in
98,Advances in Clinical Medical Research,https://www.acmrjournal.com/index.php/ACMR/oai,ojs2.www.acmrjournal.com
99,Advances in Computational Mathematics and its Applications,http://www.worldsciencepublisher.org/journals/index.php/ACMA/oai,ojs.worldsciencepublisher.org
100,Advances in Computer Science and its Applications,http://www.worldsciencepublisher.org/journals/index.php/ACSA/oai,ojs.worldsciencepublisher.org
101,Advances in Digital Multimedia,http://www.worldsciencepublisher.org/journals/index.php/ADMM/oai,ojs.worldsciencepublisher.org
102,Advances in Electrical Engineering Systems,http://www.worldsciencepublisher.org/journals/index.php/AEES/oai,ojs.worldsciencepublisher.org
103,Advances in English Linguistics,http://worldsciencepublisher.org/journals/index.php/AEL/oai,ojs.worldsciencepublisher.org
104,Advances in Geo-Energy Research,http://www.yandy-ager.com/index.php/astp/oai,ojs.localhost
105,Advances in Information Technology and Management,http://www.worldsciencepublisher.org/journals/index.php/AITM/oai,ojs.worldsciencepublisher.org
106,Advances in Intelligent Transportation Systems,http://www.worldsciencepublisher.org/journals/index.php/AITS/oai,ojs.worldsciencepublisher.org
107,Advances in Life Science and its Applications,http://worldsciencepublisher.org/journals/index.php/ALSA/oai,ojs.worldsciencepublisher.org
108,Advances in Mechanical Engineering and its Applications,http://www.worldsciencepublisher.org/journals/index.php/AMEA/oai,ojs.worldsciencepublisher.org
109,Advances in Modern Oncology Research,http://ojs.bilpublishing.com/index.php/amor/oai,ojs.bbwpublisher.com
110,Advances in Pure and Applied Chemistry,http://worldsciencepublisher.org/journals/index.php/APAC/oai,ojs.worldsciencepublisher.org
111,Advances in Technology Innovation,https://ojs.imeti.org/index.php/AITI/oai,ojs.imeti.org
112,Advocatus,http://revistas.unilibre.edu.co/index.php/advocatus/oai,revistas.unilibre.edu.co
113,AES,http://mysymposia.org/index.php/aes/index/oai,ocs.mysymposia.org
114,AESOP Eprints,https://api.aesop-planning.eu/server/oai/request,eprints.aesop-planning.eu
115,AESOP Eprints,https://eprints.aesop-planning.eu/index.php/ae/oai,eprints.aesop-planning.eu
116,Aesthetic Investigations,http://www.aestheticinvestigations.eu/index.php/journal/oai,ojs.esthetica-tijdschrift.nl
117,Affectio Societatis,http://aprendeenlinea.udea.edu.co/revistas/index.php/affectiosocietatis/oai,ojs.aprendeenlinea.udea.edu.co
118,AFIT Scholar,https://scholar.afit.edu/do/oai/,scholar.afit.edu
119,Africa Spectrum,http://hup.sub.uni-hamburg.de/giga/afsp/oai,hup.sub.uni-hamburg.de.giga
120,African Higher Education Research Online,http://ahero.uwc.ac.za/lib/oai/oai2.php,""
121,African Journal of Empirical Research,https://ajernet.net/ajernet/oai,index.ajernet.net
122,African Journal of Political Sciences,https://www.maspolitiques.com/ojs/index.php/ajps/oai,ojs2.www.maspolitiques.com
123,African Journal of Tropical Medicine and Biomedical Research,http://ajtmbr.org.ng/index.php/ajtmbr/oai,ojs.ajtmbr.org.ng
124,AFRIScholar.net,https://publications.afrischolar.net/oai-pmh-repository/request,publications.afrischolar.net
125,Afro-Ásia,https://periodicos.ufba.br/index.php/afroasia/oai,ojs.periodicos.ufba.br
126,Afyonkarahisar Health Sciences University Institutional Repository,http://acikerisim.afsu.edu.tr/oai/request,acikerisim.afsu.edu.tr
127,AGENTS,http://tin.fst.uin-alauddin.ac.id/jurnal/index.php/agents/oai,tin.fst.uin-alauddin.ac.id
128,"AGPE THE ROYAL GONDWANA RESEARCH JOURNAL OF HISTORY, SCIENCE, ECONOMIC, POLITICAL AND SOCIAL SCIENCE",https://agpegondwanajournal.co.in/index.php/agpe/oai,ojs2.agpegondwanajournal.co.in
129,Agri Ibrahim Cecen University Institutional Repository,http://acikerisim.agri.edu.tr/oai/request,acikerisim.agri.edu.tr
130,Agribusiness and and Economic-Social Scientific Research,http://jurnal.unmuhjember.ac.id/index.php/AGRIBEST/oai,ojs.localhost
131,Agribusiness Journal,http://usnsj.id/index.php/AJ/oai,ojs.usnsj.com
132,AGRICULTURAL SCIENCE,http://agriscience.scientific-work.org/index.php/agriscience/oai,ojs2.agriscience.scientific-work.org
133,Agriculture,http://jjss.co.in/ij/index.php/ag/oai,ojs.jjss.co.in
134,Agriekonomika,http://journal.trunojoyo.ac.id/agriekonomika/oai,ojs.journal.trunojoyo.ac.id
135,"Agriprima, Journal of Applied Agricultural Sciences",http://agriprima.polije.ac.id/index.php/journal/oai,ojs.agriprima.polije.ac.id
136,"Agriprima, Journal of Applied Agricultural Sciences",https://agriprima.polije.ac.id/index.php/journal/oai,ojs.agriprima.polije.ac.id
137,AGRISCIENCE,https://journal.trunojoyo.ac.id/agriscience/oai,ojs.journal.trunojoyo.ac.id
138,Agritrop,http://agritrop.cirad.fr/cgi/oai2,agritrop.cirad.fr
139,"AGRIVITA, Journal of Agricultural Science",http://agrivita.ub.ac.id/index.php/index/oai,agrivita.ub.ac.id
140,Agro Ekonomi,https://jurnal.ugm.ac.id/jae/oai,jurnal.ugm.ac.id
141,AGROINTEK,http://journal.trunojoyo.ac.id/agrointek/oai,ojs.journal.trunojoyo.ac.id
142,AGROMIX,https://jurnal.yudharta.ac.id/v2/index.php/AGROMIX/oai,ojs.jurnal.yudharta.ac.id
143,AgroProductividad,http://revista-agroproductividad.org/index.php/agroproductividad/oai,ojs.pkp.sfu.ca
144,"AGROPROSS, National Conference Proceedings of Agriculture",https://jpp.polije.ac.id/conference/index.php/agropross/index/oai,ocs.jpp.polije.ac.id
145,Agrosavia - Corporación colombiana de investigación agropecuaria,http://repository.agrosavia.co/oai/request,repository.agrosavia.co
146,Agroteknika,https://agroteknika.id/index.php/agtk/oai,ojs2.agroteknika.id
147,Agrovigor: Jurnal Agroekoteknologi,https://journal.trunojoyo.ac.id/agrovigor/oai,ojs.journal.trunojoyo.ac.id
148,AgSpace,http://agspace.nal.usda.gov:8080/dspace-oai/request,""
149,"Aibi revista de investigación, administración e ingeniería",http://revistas.udes.edu.co/site/index.php/aibi/oai,ojs.revistas.udes.edu.co
150,Aichi University of Education Academic Information Repository,http://aue.repo.nii.ac.jp/oai,""
151,Aichi University of the Arts Repository,http://ai-arts.repo.nii.ac.jp/oai,""
152,AICLL: ANNUAL INTERNATIONAL CONFERENCE ON LANGUAGE AND LITERATURE,http://aicll.sastra.uisu.ac.id/index.php/aicll/oai,aicll.sastra.uisu.ac.id
153,AIJR Books,http://books.aijr.org/index.php/press/oai,omp.books.aijr.org
154,AIJR Journals,https://journals.aijr.org/index.php/index/oai,ojs2.journals.aijr.org
155,AIJR Publisher,https://journals.aijr.in/index.php/index/oai,article.journals.aijr.in
156,AIM25 - Archives in London,http://www.aim25.ac.uk/cgi-bin/oai/OAI2.0,aim25.ac.uk
157,Aircraft Design and Systems Group (AERO) @ Hamburg University of Applied Sciences - Prof. Dr. Scholz,http://oaigateway.library.ucla.edu/gatewaynet/oai.aspx/www.fzt.haw-hamburg.de/pers/Scholz/Repository1.xml,""
158,Aisberg,http://dspace-unibg.cilea.it/dspace-oai/request,""
159,"Aisthema, International Journal",http://www.aisthema.eu/ojs/index.php/Aisthema/oai,ojs.www.aisthema.eu
160,AITEL: Artikel Ilmiah Teknik Elektro,http://student-research.umm.ac.id/index.php/aitel/oai,ojs.student-research.umm.ac.id
161,AIUB Journal of Science and Engineering,http://ajse.aiub.edu/index.php/AJSE/oai,ojs.ajse.aiub.edu
162,AIWADTHU: Jurnal Pengabdian Hukum,https://fhukum.unpatti.ac.id/jurnal/aiwadthu/oai,ojs.fhukum.unpatti.ac.id
163,Akdeniz Üniversitesi DSpace,http://acikerisim.akdeniz.edu.tr/oai/request,acikerisim.akdeniz.edu.tr
164,AKF OAI-PMH Repository,http://akf.nul.nagoya-u.ac.jp/infolib/oai_repository/oai/G0000002AKF-repository,""
165,Akita University Institutional Repository,http://air.repo.nii.ac.jp/oai,""
166,Akita University of Art Repository,http://akibi.repo.nii.ac.jp/oai,""
167,"Akronos Publishing, Canada",http://www.aetherometry.com/OAI/oai2.php,""
168,Aksaray University Institutional Repository,http://acikerisim.aksaray.edu.tr/oai/request,acikerisim.aksaray.edu.tr
169,AKSARAY ÜNİVERSİTESİİKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ  DERGİSİ,http://iibfdergi.aksaray.edu.tr/index.php/index/oai,ojs.iibfdergi.aksaray.edu.tr
170,"Akuatikisle: Jurnal Akuakultur, Pesisir dan Pulau-Pulau Kecil",http://ejournal.stipwunaraha.ac.id/index.php/ISLE/oai,ojs.ejournal.stipwunaraha.ac.id
171,Akubis: Jurnal Akuntansi dan Bisnis,https://akubis.journalwidyakarya.ac.id/index.php/akubis/oai,ojs2.akubis.journalwidyakarya.ac.id
172,Akuntansi dan Humaniora: Jurnal Pengabdian Masyarakat,https://journalkeberlanjutan.com/index.php/ahjpm/oai,ojs2.journalkeberlanjutan.com
173,Akuntansi dan Manajemen,http://ejournal.polinpdg.ac.id/index.php/JAM/oai,ojs.ojs.polinpdg.ac.id
174,AKURASI: Jurnal Riset Akuntansi dan Keuangan,https://ejournal.imperiuminstitute.org/index.php/AKURASI/oai,ojs2.ejournal.imperiuminstitute.org
175,AKWABA ,http://akwaba.bnci.ci/oai-pmh-repository/request,akwaba.bnci.ci
176,Al Athfal: Jurnal Pendidikan Anak,http://ejournal.uin-suka.ac.id/tarbiyah/index.php/alathfal/oai,ojs.pkp.sfu.ca
177,Al Fitrah: Journal Of Early Childhood Islamic Education,https://ejournal.iainbengkulu.ac.id/index.php/alfitrah/oai,ojs.ejournal.iainbengkulu.ac.id
178,AL IMARAH : JURNAL PEMERINTAHAN DAN POLITIK ISLAM,http://ejournal.iainbengkulu.ac.id/index.php/alimarah/oai,ojs.ejournal.iainbengkulu.ac.id
179,AL IMARAH : JURNAL PEMERINTAHAN DAN POLITIK ISLAM,https://ejournal.iainbengkulu.ac.id/index.php/alimarah/oai,ojs.ejournal.iainbengkulu.ac.id
180,AL LUGHAH,http://ejournal.iainbengkulu.ac.id/index.php/alughah/oai,ojs.ejournal.iainbengkulu.ac.id
181,AL Maktabah,http://ejournal.iainbengkulu.ac.id/index.php/almaktabah/oai,ojs.ejournal.iainbengkulu.ac.id
182,Al Mi'yar,https://jurnal.stiq-amuntai.ac.id/index.php/al-miyar/oai,ojs.jurnal.stiq-amuntai.ac.id
183,AL MISBAH RESEARCH JOURNAL,https://reinci.com/ojs3308/index.php/almisbah/oai,ojs2.reinci.com
184,Al Qalam: Jurnal Ilmiah Keagamaan dan Kemasyarakatan,https://jurnal.stiq-amuntai.ac.id/index.php/al-qalam/oai,ojs.jurnal.stiq-amuntai.ac.id
185,Al-Albab,http://jurnaliainpontianak.or.id/index.php/alalbab/oai,ojs.jurnaliainpontianak.or.id
186,Al-Anwar : Jurnal Ekonomi dan Bisnis Islam,http://ejournal.kopertais4.or.id/madura/index.php/alanwar/oai,oai.ejournal.kopertais4.or.id
187,Al-Astar,http://jurnal.staimempawah.ac.id/index.php/Ats/oai,jurnal.staimempawah.ac.id
188,AL-FIKRAH: Jurnal Studi Ilmu Pendidikan dan Keislaman,http://jurnal.alhamidiyah.ac.id/index.php/al-fikrah/oai,ojs2.jurnal.alhamidiyah.ac.id
189,AL-FIKRAH: Jurnal Studi Ilmu Pendidikan dan Keislaman,https://jurnal.alhamidiyah.ac.id/index.php/al-fikrah/oai,ojs2.jurnal.alhamidiyah.ac.id
190,Al-Fikru,http://jurnal.staiserdanglubukpakam.ac.id/index.php/alfikru/oai,ojs2.jurnal.staiserdanglubukpakam.ac.id
191,Al-Fitrah,http://ejournal.iainbengkulu.ac.id/index.php/alfitrah/oai,ojs.ejournal.iainbengkulu.ac.id
192,Al-Hayat: Journal of Islamic Education,https://alhayat.or.id/index.php/alhayat/oai,ojs2.alhayat.or.id
193,Al-Hikmah,http://jurnaliainpontianak.or.id/index.php/alhikmah/oai,ojs.jurnaliainpontianak.or.id
194,Al-Hikmah,https://jurnaliainpontianak.or.id/index.php/alhikmah/oai,ojs.jurnaliainpontianak.or.id
195,Al-idaroh : Jurnal Studi Manajemen Pendidikan Islam,http://jurnal.stituwjombang.ac.id/index.php/al-idaroh/oai,ojs2.jurnal.stituwjombang.ac.id
196,Al-Ihkam: Jurnal Hukum & Pranata Sosial,http://ejournal.stainpamekasan.ac.id/index.php/alihkam/oai,ojs.www.ejournal.stainpamekasan.ac.id
197,Al-Ijtima`i: International Journal of Government and Social Science,https://journal.ar-raniry.ac.id/index.php/jai/oai,ojs.journal.ar-raniry.ac.id
198,Al-Insyirah Midwifery: Jurnal Ilmu Kebidanan (Journal of Midwifery Sciences),https://jurnal.stikes-alinsyirah.ac.id/index.php/kebidanan/oai,jurnal.stikes-alinsyirah.ac.id
199,Al-Intaj : Jurnal Ekonomi dan Perbankan Syariah,http://ejournal.iainbengkulu.ac.id/index.php/Al-Intaj/oai,ojs.ejournal.iainbengkulu.ac.id
200,Al-Izzah: Jurnal Hasil-Hasil Penelitian,http://ejournal.iainkendari.ac.id/al-izzah/oai,ejournal.iainkendari.ac.id
201,Al-Jami'ah: Journal of Islamic Studies,http://www.aljamiah.or.id/index.php/AJIS/oai,ojs.localhost
202,Al-Jami'ah: Journal of Islamic Studies,http://aljamiah.or.id/index.php/AJIS/oai,ojs.pkp.sfu.ca
203,"Al-Kuttab : Jurnal Kajian Perpustakaan, informasi dan kearsipan",http://jurnal.iain-padangsidimpuan.ac.id/index.php/Kuttab/oai,jurnal.iain-padangsidimpuan.ac.id
204,Al-Kuttab : Jurnal Perpustakaan dan Informasi,http://e-journal.perpustakaanstainpsp.net/index.php/alkuttab/oai,ojs.e-journal.perpustakaanstainpsp.net
205,Al-Ma'mun: Jurnal Kajian Kepustakawanan dan Informasi,http://ejournal.uinsaizu.ac.id/index.php/jkki/oai,ejournal.uinsaizu.ac.id
206,AL-MAFAZI: JOURNAL OF ISLAMIC EDUCATION MANAGEMENT,https://ejournal.stai-mas.ac.id/index.php/mpi/oai,ojs2.jurnal.stai-mas.ac.id
207,AL-MAKTABAH,http://journal.uinjkt.ac.id/index.php/al-maktabah/oai,ojs.localhost
208,Al-MASHARIF: Jurnal Ilmu Ekonomi dan Keislaman,http://e-journal.perpustakaanstainpsp.net/index.php/Al-masharif/oai,ojs.e-journal.perpustakaanstainpsp.net
209,Al-Maslahah,http://jurnaliainpontianak.or.id/index.php/Almaslahah/oai,ojs.jurnaliainpontianak.or.id
210,Al-Masraf : Jurnal Lembaga Keuangan dan Perbankan,http://journal.febi.iainimambonjol.ac.id/index.php/almasraf/oai,ojs.febi.iainimambonjol.ac.id
211,Al-Masraf : Jurnal Lembaga Keuangan dan Perbankan,http://journal.febi.uinib.ac.id/index.php/almasraf/oai,ojs.journal.febi.uinib.ac.id
212,Al-Qanṭara,http://al-qantara.revistas.csic.es/index.php/al-qantara/oai,alqantara.revistas.csic.es
213,Al-Rafidain Engineering Journal,http://uom-arej.org/index.php/Arej/oai,ojs.uom-arej.org
214,Al-Risalah,http://e-journal.lp2m.uinjambi.ac.id/ojp/index.php/al-risalah/oai,e-journal.lp2m.uinjambi.ac.id
215,AL-Ta lim,http://journal.tarbiyahiainib.ac.id/index.php/attalim/oai,ojs.journal.tarbiyahiainib.ac.id
216,Al-Tahrir: Jurnal Pemikiran Islam,http://jurnal.stainponorogo.ac.id/index.php/tahrir/oai,ojs.localhost
217,AL-THARIQAH,http://journal.uir.ac.id/index.php/althariqah/oai,ojs2.localhost
218,Al-Ubudiyah: Jurnal Pendidikan dan Studi Islam,https://jurnal.staiddimakassar.ac.id/index.php/aujpsi/oai,ojs2.jurnal.staiddimakassar.ac.id
219,Alabama Law Scholarly Commons,https://scholarship.law.ua.edu/do/oai/,scholarship.law.ua.edu
220,ALADIN : DSpace de la MSH-Alpes,http://dspace.msh-alpes.prd.fr/oai/,""
221,ALAM CIPTA Journal,http://frsb.upm.edu.my/alamcipta/index.php/alamcipta/oai,ojs.frsb.upm.edu.my
222,Alanya Alaaddin Keykubat University Institutional Repository,http://acikerisim.alanya.edu.tr/oai/request,acikerisim.alanya.edu.tr
223,Albanian Journal of Pharmaceutical Sciences,http://www.ajphsci.com/index.php/ajphsci/oai,ojs.www.ajphsci.com
224,Albanian Journal of Pharmaceutical Sciences,http://www.ajphsci.com/index.php/index/oai,ojs.www.ajphsci.com
225,Alexandria teste,http://suporte.alexandria.com.br:8084/pesLivre42/oai/pesquisa,""
226,Alexandria teste,http://suporte.alexandria.com.br:8087/pesquisa/oai/pes,""
227,Alexandria teste,http://suporte.alexandria.com.br:8087/pesquisa/oai/pesquisa,""
228,Alfinge. Revista de Filología,http://www.uco.es/ucopress/ojs/index.php/alfinge/oai,ojs.www.uco.es
284,Annales Canonici,http://czasopisma.upjp2.edu.pl/annalescanonici/oai,ojs.czasopisma.upjp2.edu.pl
229,Allegheny Health Sciences Journal,http://www.allegheny-online.org/ojs/index.php/AHSJ/oai,ojs2.allegheny-online.org
